測位方式,測位回数(0:無限),測位タイムアウト,測位間隔,minTime,SUPLEND待ち時間,アシストデータ削除時間,アシストデータ削除有無
Tracking,0,60,75,0,0,3,true,true
測位開始時間,測位終了時間,測位成否,緯度,経度,TTFF,Accuracy,LocationTime(epoch),LocationTime(UTC)
19:10:37.026,19:10:37.026,true,35.22404539,139.67277235,1.0,3.7900925,1626171037000,2021-07-13T19:10:37GMT+09:00
19:10:38.022,19:10:38.022,true,35.22404539,139.67277234,0.996,3.7900925,1626171038000,2021-07-13T19:10:38GMT+09:00
19:10:39.040,19:10:39.040,true,35.22404423,139.67277035,1.018,3.7900925,1626171039000,2021-07-13T19:10:39GMT+09:00
19:10:40.021,19:10:40.021,true,35.22404348,139.67277787,0.981,3.7900925,1626171040000,2021-07-13T19:10:40GMT+09:00
19:10:41.025,19:10:41.025,true,35.22404374,139.67277664,1.004,3.7900925,1626171041000,2021-07-13T19:10:41GMT+09:00
19:10:42.030,19:10:42.030,true,35.22404441,139.67277473,1.005,3.7900925,1626171042000,2021-07-13T19:10:42GMT+09:00
19:10:43.039,19:10:43.038,true,35.22404753,139.67277072,1.008,3.7900925,1626171043000,2021-07-13T19:10:43GMT+09:00
19:10:44.031,19:10:44.031,true,35.22404994,139.67277001,0.992,3.7900925,1626171044000,2021-07-13T19:10:44GMT+09:00
19:10:45.054,19:10:45.054,true,35.22405027,139.67276972,1.023,3.7900925,1626171045000,2021-07-13T19:10:45GMT+09:00
19:10:46.032,19:10:46.032,true,35.22404981,139.67277031,0.978,3.7900925,1626171046000,2021-07-13T19:10:46GMT+09:00
19:10:47.029,19:10:47.029,true,35.22404847,139.67277203,0.997,3.7900925,1626171047000,2021-07-13T19:10:47GMT+09:00
19:10:48.031,19:10:48.031,true,35.22404903,139.67277296,1.002,3.7900925,1626171048000,2021-07-13T19:10:48GMT+09:00
19:10:49.023,19:10:49.023,true,35.22404973,139.6727751,0.992,3.7900925,1626171049000,2021-07-13T19:10:49GMT+09:00
19:10:50.026,19:10:50.026,true,35.22405316,139.67277559,1.003,3.7900925,1626171050000,2021-07-13T19:10:50GMT+09:00
19:10:51.035,19:10:51.035,true,35.22405422,139.67277569,1.009,3.7900925,1626171051000,2021-07-13T19:10:51GMT+09:00
19:10:52.030,19:10:52.030,true,35.22405332,139.67277724,0.995,3.7900925,1626171052000,2021-07-13T19:10:52GMT+09:00
